tag_id,name,category,count
470575,1girl,0,3458813
212816,solo,0,2873868
13197,long_hair,0,2437767
8601,breasts,0,1838862
3389,blush,0,1643504
469576,looking_at_viewer,0,1603941
1815,smile,0,1540493
15080,short_hair,0,1301087
11906,open_mouth,0,1268580
16751,bangs,0,1070363
10959,blue_eyes,0,1005683
566835,multiple_girls,0,970301
429,skirt,0,919020
87788,blonde_hair,0,916490
16867,brown_hair,0,890336
403247,large_breasts,0,871343
412368,simple_background,0,823297
13200,black_hair,0,786459
1304828,eyebrows_visible_through_hair,0,772711
2373,hat,0,749717
380350,hair_ornament,0,748779
1882,thighhighs,0,746798
8526,red_eyes,0,734544
5735,gloves,0,713916
12590,shirt,0,710296
29,touhou,3,696766
2241,dress,0,675333
515193,white_background,0,672363
383159,long_sleeves,0,670333
540830,1boy,0,670072
464575,ribbon,0,666878
4563,bow,0,647192
1821,2girls,0,625178
9294,navel,0,603117
4607,cleavage,0,554597
16578,brown_eyes,0,545147
6126,animal_ears,0,541316
1709,twintails,0,537991
375387,holding,0,535411
667868,medium_breasts,0,524945
376054,bare_shoulders,0,521197
464906,underwear,0,506595
658573,hair_between_eyes,0,506080
12289,sitting,0,505953
16509,school_uniform,0,501843
417660,very_long_hair,0,495070
16613,jewelry,0,487495
10960,green_eyes,0,478770
10953,blue_hair,0,446186
572080,closed_mouth,0,429887
15675,standing,0,426768
1681,monochrome,0,425349
391,panties,0,423076
15654,purple_eyes,0,422666
466499,collarbone,0,403009
1231860,kantai_collection,3,402606
613194,black_legwear,0,397457
464561,hair_ribbon,0,383372
444,swimsuit,0,375317
465619,closed_eyes,0,373509
63,comic,0,369072
15674,tail,0,368279
11449,weapon,0,363653
3843,jacket,0,362852
2355,ponytail,0,355798
89189,yellow_eyes,0,355141
608813,full_body,0,352200
16442,purple_hair,0,350134
11429,pink_hair,0,337396
513837,greyscale,0,336283
4334,braid,0,332660
464559,flower,0,330826
15425,silver_hair,0,326108
3522,ahoge,0,322732
374844,hair_bow,0,320145
547463,upper_body,0,318222
384553,:d,0,315570
472154,short_sleeves,0,302709
2363,pantyhose,0,291533
376766,white_shirt,0,290481
2750,heart,0,278099
6539,bikini,0,277019
383282,pleated_skirt,0,275000
1300281,male_focus,0,274235
2376,hairband,0,271366
5403,red_hair,0,270605
5827,boots,0,270570
484168,sidelocks,0,258358
660909,cowboy_shot,0,255257
4569,sweat,0,253431
13804,earrings,0,245292
